"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","DigiKey"
"C5,C27","2","22u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","587-3246-1-ND"
"C6,C8,C15,C16,C18,C19,C20,C22,C23,C24","10","0.1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","720-1754-1-ND"
"C7,C10","2","2.2u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","399-C0805C225K4RACTUCT-ND"
"C9,C11,C12,C13,C14","5","22p","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","399-17625-1-ND"
"C17","1","22n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","490-1644-1-ND"
"C21","1","33p","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","399-C0805C330J5GACTUCT-ND"
"C25,C26","2","0","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~",""
"D1","1","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","492-2281-1-ND"
"D2","1","D_Schottky","","","","Diode_SMD:D_SOD-323_HandSoldering","~","CUS10S30H3FCT-ND"
"D3","1","1N4148","","","","Diode_SMD:D_SOD-323F","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","1N4148WSFSCT-ND"
"J1","1","Conn_01x08_Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~",""
"J2","1","USB4105-GF-A","","","","1_project_library:USB4105_GCT","USB4105-GF-A","2073-USB4105-GF-ACT-ND"
"L1,L2","2","47n","","","","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","~","445-1032-1-ND"
"L3","1","1.8n","","","","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","~","2035-1135-1-ND"
"L4","1","SRU1038-5R0Y","","","","1_project_library:IND_BOURNS_SRU1038","SRU1038-5R0Y","SRU1038-5R0YCT-ND"
"Q2","1","DMP3099L","","","","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/DMP3099L.pdf","DMP3099L-7DICT-ND"
"R1,R17,R18,R21,R22","5","2.2k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","311-2.20KCRCT-ND"
"R6,R7","2","5.1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","P5.1KDACT-ND"
"R8","1","10K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","541-10.0KCCT-ND"
"R9,R20","2","0","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","311-0.0ARCT-ND"
"R10","1","100k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","311-100KCRCT-ND"
"R11","1","20","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","311-20.0CRCT-ND"
"R12","1","5.6k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","13-RC0805FR-135K6LCT-ND"
"R13","1","13k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","13-RT0805FRE0713KLCT-ND"
"R14","1","40.2k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","311-40.2KCRCT-ND"
"R15","1","470k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","311-470KCRCT-ND"
"R16,R23","2","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","541-10.0KCCT-ND"
"U1","1","B3U-1000P","","","","B3U-1000P","B3U-1000P","SW1020CT-ND"
"U2","1","1060","","","","1_project_library:1060_KEY","1060","36-1060-ND"
"U7","1","LTC4412xS6","","","","Package_TO_SOT_SMD:TSOT-23-6","https://www.analog.com/media/en/technical-documentation/data-sheets/4412fb.pdf","505-LTC4412ES6#TRMPBFCT-ND"
"U8","1","~","","","","Package_TO_SOT_SMD:TSOT-23-8","","1589-1573-1-ND"
"U10","1","~","","","","1_project_library:QFN28_M20048-1_ANT","","627-1099-1-ND"
"U11","1","~","","","","1_project_library:QFN10_BMP581_BOS","","828-BMP581CT-ND"
"U12","1","ESP32-S3-MINI-1U","","","","RF_Module:ESP32-S2-MINI-1U","https://www.espressif.com/sites/default/files/documentation/esp32-s3-mini-1_mini-1u_datasheet_en.pdf","1965-ESP32-S3-MINI-1U-N8CT-ND"
"U13","1","BNO085","","","","1_project_library:BNO085","BNO085","1888-1006-1-ND"
